,opening_shortname
Alekhine Defense,0.3489583333333333
Amar Opening,0.21428571428571427
Amazon Attack,0.3333333333333333
Anderssen Opening,0.46153846153846156
Barnes Defense,0.4375
Benko Gambit,0.1
Benoni Defense,0.2153846153846154
Bird Opening,0.3821656050955414
Bishop's Opening,0.3591331269349845
Blackmar-Diemer Gambit,0.3114754098360656
Blumenfeld Countergambit,0.21428571428571427
Borg Defense,0.5384615384615384
Budapest Defense,0.44
Caro-Kann Defense,0.2780569514237856
Catalan Opening,0.3333333333333333
Center Game,0.45348837209302323
Clemenz Opening,0.4444444444444444
Colle System,0.2692307692307692
Crab Opening,0.875
Danish Gambit,0.35714285714285715
Duras Gambit,0.5
Dutch Defense,0.184
East Indian Defense,0.2727272727272727
Elephant Gambit,0.4027777777777778
English Defense,0.27941176470588236
English Opening,0.28055555555555556
Englund Gambit,0.3448275862068966
Englund Gambit Complex,0.28
Four Knights Game,0.36486486486486486
Franco-Benoni Defense,0.375
French Defense,0.3031161473087819
Gedult's Opening,0.2857142857142857
Giuoco Piano,0.26851851851851855
Goldsmith Defense,0.47058823529411764
Grob Opening,0.5135135135135135
Gruenfeld Defense,0.2459016393442623
Gunderam Defense,0.45454545454545453
Horwitz Defense,0.33014354066985646
Hungarian Opening,0.40782122905027934
Indian Game,0.2946708463949843
Italian Game,0.3149847094801223
Kadas Opening,0.5172413793103449
Kangaroo Defense,0.6666666666666666
King's Gambit,0.2911392405063291
King's Indian Attack,0.1590909090909091
King's Indian Defense,0.17766497461928935
King's Knight Opening,0.3879781420765027
King's Pawn,0.1111111111111111
King's Pawn Game,0.4100327153762268
King's Pawn Opening,0.46153846153846156
Latvian Gambit,0.2608695652173913
London System,0.2
Mexican Defense,0.6666666666666666
Mieses Opening,0.3883495145631068
Mikenas Defense,0.47368421052631576
Modern Defense,0.32
Nimzo-Indian Defense,0.27388535031847133
Nimzo-Larsen Attack,0.2926829268292683
Nimzowitsch Defense,0.32589285714285715
Nimzowitsch-Larsen Attack,0.2608695652173913
Old Benoni Defense,0.20512820512820512
Old Indian Defense,0.32432432432432434
Owen Defense,0.34502923976608185
Petrov,0.3333333333333333
Petrov's Defense,0.3176470588235294
Philidor Defense,0.3516642547033285
Pirc Defense,0.2708333333333333
Polish Defense,0.5
Polish Opening,0.2891566265060241
Ponziani Opening,0.24242424242424243
Portuguese Opening,0.4090909090909091
Queen's Gambit,0.27960526315789475
Queen's Indian Defense,0.18
Queen's Pawn,0.3178294573643411
Queen's Pawn Game,0.34144363341443634
Queen's Pawn Opening,0.42857142857142855
Rat Defense,0.29347826086956524
Reti Opening,0.2714285714285714
Robatsch (Modern) Defense,0.21428571428571427
Russian Game,0.3492063492063492
Ruy Lopez,0.3135198135198135
Saragossa Opening,0.32
Scandinavian Defense,0.3268156424581006
Scotch Gambit,0.2857142857142857
Scotch Game,0.25806451612903225
Semi-Slav Defense,0.21296296296296297
Sicilian Defense,0.27393617021276595
Slav Defense,0.25416666666666665
St. George Defense,0.4375
Tarrasch Defense,0.11538461538461539
Three Knights Opening,0.3418803418803419
Torre Attack,0.36363636363636365
Trompowsky Attack,0.26666666666666666
Van Geet Opening,0.5344827586206896
Van't Kruijs Opening,0.41847826086956524
Vienna Game,0.40145985401459855
Ware Defense,0.5
Ware Opening,0.375
Yusupov-Rubinstein System,0.45
Zukertort Opening,0.30357142857142855
